ecli,sentencia_ref,sentencia_nombre,sentencia_fecha,sentencia_año,legislacion_ref,legislacion_nombre,tipo_vinculo,articulos_aplicados,descripcion_vinculo
ECLI:EU:C:2025:130,C-203/22,Dun & Bradstreet Austria (decisiones automatizadas),27/02/2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 15 y 22 RGPD,El TJUE interpretó el derecho de acceso a la lógica del art. 15 RGPD y las garantías del art. 22 RGPD para las decisiones automatizadas como el scoring crediticio de Dun & Bradstreet.
ECLI:EU:C:2023:429,C-246/22,JU v Gemeente Echt-Susteren (datos de empleados cedidos a sindicatos),11/05/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.a) y 6.1.c) RGPD,El TJUE analizó si una obligación legal nacional que exige a un empleador comunicar datos personales de sus empleados a los sindicatos puede constituir una base jurídica válida conforme al art. 6.1.c) RGPD. Aclaró los requisitos de calidad y precisión de la norma habilitante.
ECLI:EU:C:2023:537,C-252/21,Bundeskartellamt v Meta (antitrust + RGPD),04/07/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 6 y 9 RGPD,El TJUE analizó las bases jurídicas de los arts. 6 y 9 RGPD para el tratamiento de datos con fines de publicidad personalizada en el contexto de abuso de posición dominante.
ECLI:EU:C:2023:537,C-252/21,Bundeskartellamt v Meta (antitrust + RGPD),04/07/2023,2023,Regl. (UE) 2022/1925,DMA — Reglamento de Mercados Digitales,Vinculación directa,Arts. 5 y 6 DMA,El DMA recogió directamente las conclusiones de esta sentencia prohibiendo a los gatekeepers combinar datos de distintos servicios sin consentimiento explícito.
ECLI:EU:C:2023:958,C-26/22 y C-64/22,SCHUFA (scoring crediticio — art. 22 RGPD),07/12/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 22 RGPD,Primera interpretación del art. 22 RGPD sobre decisiones automatizadas: el scoring de SCHUFA constituye una decisión automatizada con efectos jurídicos significativos sujeta a las garantías del art. 22.
ECLI:EU:C:2020:535,C-272/19,VQ v Land Hessen (parlamentos nacionales),09/07/2020,2020,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Delimitación ámbito,Art. 2 RGPD,El TJUE delimitó el ámbito de aplicación material del RGPD (art. 2) para excluir ciertas actividades parlamentarias vinculadas a la seguridad nacional.
ECLI:EU:C:2023:370,C-300/21,Österreichische Post (indemnización RGPD),04/05/2023,2023,Dir. (UE) 2020/1828,Acciones de Representación — Acciones colectivas,Vinculación indirecta,Art. 7 Dir. 2020/1828,La aclaración del art. 82 RGPD tiene impacto directo en las acciones colectivas de resarcimiento que pueden ejercer las entidades habilitadas bajo la Directiva de acciones de representación.
ECLI:EU:C:2023:370,C-300/21,Österreichische Post (indemnización RGPD),04/05/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE interpretó el art. 82 RGPD estableciendo los tres requisitos acumulativos para la indemnización por infracción del RGPD y descartando su función punitiva.
ECLI:EU:C:2023:811,C-307/22,FT v BV (historia clínica — copia gratuita) — complemento profesionales de la salud,26/10/2023,2023,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Art. 35 CDFUE (derecho a la salud),El derecho del paciente a obtener una primera copia gratuita de su historia clínica protegido por el art. 15 RGPD se conecta con el art. 35 CDFUE sobre el derecho a la protección de la salud. El TJUE rechazó que el interés económico del médico pueda limitar este derecho fundamental.
ECLI:EU:C:2023:811,C-307/22,FT (historia clínica y copias gratuitas),26/10/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 15 y 12.5 RGPD,El TJUE estableció que los pacientes tienen derecho a obtener una primera copia de su historia clínica de forma gratuita con arreglo al art. 15 RGPD. Sólo las copias adicionales pueden ser objeto de una tasa razonable conforme al art. 12.5 RGPD.
ECLI:EU:C:2020:559,C-311/18,Schrems II / Privacy Shield,16/07/2020,2020,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE / Art. 47 CDFUE,El TJUE exigió un nivel de protección equivalente al garantizado por los arts. 7 y 8 CDFUE y la existencia de vías de recurso efectivas conforme al art. 47 CDFUE.
ECLI:EU:C:2020:559,C-311/18,Schrems II / Privacy Shield,16/07/2020,2020,Dec. Ej. (UE) 2021/914,SCCs actualizadas — Cláusulas Contractuales Tipo,Precedente directo,Art. 46 RGPD,La sentencia Schrems II fue el detonante directo de la revisión y adopción de las nuevas SCCs (Dec. 2021/914) que incorporan las obligaciones de evaluación de impacto de la transferencia (TIA).
ECLI:EU:C:2020:559,C-311/18,Schrems II / Privacy Shield,16/07/2020,2020,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Invalidación acto derivado / Interpretación,Arts. 45 y 46 RGPD,El TJUE invalidó la Decisión Privacy Shield basándose en que no garantizaba un nivel de protección equivalente al exigido por el art. 45 RGPD y su relación con la CDFUE.
ECLI:EU:C:2023:837,C-319/22,Gesamtverband Autoteile-Handel (VINs como dato personal),09/11/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 4.1 RGPD,El TJUE interpretó la definición de dato personal del art. 4.1 RGPD aplicada a los números de identificación de vehículo (VINs) en el contexto del acceso a datos técnicos de reparación.
ECLI:EU:C:2024:532,C-33/22,Österreichische Datenschutzbehörde (tratamiento parlamentario de datos),20/06/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Delimitación ámbito,Art. 2 y 55 RGPD,El TJUE precisó los límites del ámbito de aplicación del RGPD respecto a los Parlamentos nacionales. Los Parlamentos están sujetos al RGPD en lo que atañe a sus actividades administrativas ordinarias pero pueden excluir ciertas actividades nucleares vinculadas al ejercicio de la función legislativa y de control.
ECLI:EU:C:2023:986,C-340/21,VB v Natsionalna agentsia za prihodite (ciberataque agencia tributaria búlgara),14/12/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5 24 32 y 82 RGPD,El TJUE estableció que el miedo fundado a la utilización indebida de datos personales publicados tras un ciberataque a la agencia tributaria búlgara puede constituir daño no material indemnizable. La mera ocurrencia de una brecha no basta para presumir que las medidas de seguridad del art. 32 eran inadecuadas: el tribunal nacional debe evaluarlo caso a caso.
ECLI:EU:C:2019:122,C-345/17,Buivids (grabación en comisaría),14/02/2019,2019,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE,El TJUE aplicó los arts. 7 y 8 CDFUE (vida privada y protección de datos) al ponderar los derechos en conflicto con la libertad de expresión del art. 11 CDFUE.
ECLI:EU:C:2022:912,C-37/20 y C-601/20,Luxembourg Business Registers (beneficiarios reales),22/11/2022,2022,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE,La invalidación de la norma AML se fundamentó en la vulneración desproporcionada del derecho a la vida privada (art. 7) y a la protección de datos (art. 8) de la CDFUE.
ECLI:EU:C:2022:912,C-37/20 y C-601/20,Luxembourg Business Registers (beneficiarios reales),22/11/2022,2022,Dir. (UE) 2015/849,Directiva AML — Prevención del blanqueo de capitales,Invalidación parcial,Art. 30.5 Dir. 2015/849,El TJUE invalidó el art. 30.5 de la Directiva AML que exigía el acceso público universal a los registros de beneficiarios reales por vulnerar de forma desproporcionada la protección de datos.
ECLI:EU:C:2025:(pendiente),C-383/23,Anklagemyndigheden v ILVA A/S (cálculo de multas — concepto de empresa),2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 83.4-83.6 RGPD,El TJUE estableció que para calcular el techo máximo de las sanciones del art. 83 RGPD el concepto de empresa debe interpretarse de forma coherente con el derecho de la competencia (arts. 101 y 102 TFUE). Se toma en cuenta la facturación mundial del grupo empresarial completo al que pertenece el responsable o encargado del tratamiento.
ECLI:EU:C:2025:9,C-394/23,Mousse (género en billetes de tren),09/01/2025,2025,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Vinculación indirecta,Art. 13 ePrivacy,La sentencia tiene implicaciones en el uso de datos de clientes para comunicaciones comerciales reguladas por el art. 13 de la Directiva ePrivacy.
ECLI:EU:C:2025:9,C-394/23,Mousse (género en billetes de tren),09/01/2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 6.1.b) RGPD,El TJUE analizó si la recogida de la fórmula de tratamiento (Señor/Señora) es objetivamente necesaria para la ejecución del contrato de transporte conforme al art. 6.1.b) RGPD.
 ensayos clínicos y datos financieros.,C-413/23 P,EDPS v SRB (datos pseudonimizados — concepto relativo),04/09/2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación por analogía,Art. 4.1 RGPD,El concepto relativo de dato personal acuñado en esta sentencia bajo el EUDPR es plenamente trasladable al art. 4.1 RGPD con impacto en IA,https://curia.europa.eu/juris/liste.jsf?num=C-413/23,ECLI:EU:C:2025:(pendiente)
ECLI:EU:C:2025:(pendiente),C-413/23 P,EDPS v SRB (datos pseudonimizados — concepto relativo),04/09/2025,2025,Regl. (UE) 2018/1725,EUDPR — Protección de datos en instituciones UE,Interpretación,Art. 4.1 Regl. 2018/1725,El TJUE interpretó el concepto de dato personal del EUDPR estableciendo el carácter relativo de la pseudonimización: lo que es dato personal para quien puede reidentificar puede no serlo para el receptor.
ECLI:EU:C:2025:(pendiente),C-416/23,Österreichische Datenschutzbehörde (solicitudes abusivas),2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 57.4 RGPD,El TJUE interpretó la cláusula de solicitudes manifiestamente excesivas del art. 57.4 RGPD aclarando que el número de solicitudes por sí solo no basta para denegarlas.
ECLI:EU:C:2017:994,C-434/16,Nowak (respuestas de examen como dato personal),20/12/2017,2017,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación anticipada,Art. 4.1 RGPD,Los criterios de la sentencia Nowak sobre el concepto de dato personal son plenamente aplicables al art. 4.1 RGPD siendo citada habitualmente como precedente en la interpretación extensiva de datos personales bajo el RGPD.
ECLI:EU:C:2021:504,C-439/19,B v Latvijas Republikas Saeima (registro público de puntos de carné),22/06/2021,2021,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.e) y 10 RGPD,El TJUE analizó la licitud del acceso público sin restricciones al registro nacional letón de sanciones administrativas por infracciones de tráfico. Declaró que el RGPD no se opone a dicho registro si está limitado a lo estrictamente necesario y está amparado por una norma legal proporcional.
ECLI:EU:C:2023:741,C-446/21,Schrems v Meta (publicidad y datos sensibles),04/10/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.c) 6 y 9 RGPD,El TJUE aplicó el principio de minimización del art. 5.1.c) y las bases jurídicas de los arts. 6 y 9 RGPD para limitar el uso de datos de usuarios de redes sociales en publicidad personalizada.
ECLI:EU:C:2023:741,C-446/21,Schrems v Meta — datos sensibles y publicidad (complemento),04/10/2023,2023,Regl. (UE) 2022/2065,DSA — Reglamento de Servicios Digitales,Vinculación directa,Art. 26 DSA,El DSA recogió directamente los principios de esta sentencia al prohibir en su art. 26 la publicidad dirigida basada en el tratamiento de categorías especiales de datos personales definidas en el art. 9 RGPD.
ECLI:EU:C:2023:61,C-451/21 P,Luxemburgo v Comisión (sanciones fiscales y datos personales),26/01/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Delimitación ámbito,Art. 2 RGPD,El Tribunal de Justicia aclaró los límites del ámbito de aplicación del RGPD respecto a las obligaciones de intercambio automático de información fiscal entre administraciones tributarias de los Estados miembros conforme a la Directiva DAC6 sobre mecanismos transfronterizos de planificación fiscal.
ECLI:EU:C:2023:79,C-453/21,X-FAB Dresden (independencia del DPO),09/02/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 38.3 RGPD,El TJUE interpretó la garantía de inamovilidad del DPO del art. 38.3 RGPD aclarando cuándo una normativa nacional de protección reforzada es compatible con el RGPD.
ECLI:EU:C:2024:319,C-456/22,VX v Gemeinde Ummendorf (sin umbral mínimo de daño),11/04/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE estableció que el art. 82 RGPD no exige un daño mínimo: cualquier daño real por pequeño que sea da derecho a indemnización si se acreditan los tres requisitos acumulativos.
ECLI:EU:C:2022:962,C-460/20,Google (desindexación de contenido presuntamente inexacto),08/12/2022,2022,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 17 y 4.1 RGPD,El TJUE estableció que para obtener la desindexación de contenido presuntamente inexacto el solicitante no necesita obtener previamente una declaración judicial de inexactitud. El motor de búsqueda debe ponderar los derechos en conflicto pero el solicitante debe aportar indicios razonables de inexactitud.
ECLI:EU:C:2024:275,C-461/22,MK v WB (acceso de terceros a expedientes judiciales),21/03/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.b) y 86 RGPD,El TJUE analizó el acceso de terceros a expedientes judiciales que contienen datos personales de las partes del proceso. Aclaró que el art. 86 RGPD permite a los Estados miembros conciliar el acceso del público a los documentos oficiales con los derechos de los interesados debiendo ponderar ambos en cada caso.
ECLI:EU:C:2024:370,C-470/21,La Quadrature du Net (datos P2P y lucha contra la piratería),30/04/2024,2024,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Art. 15 ePrivacy,El TJUE permitió que los Estados miembros autoricen la retención limitada de datos de identidad civil vinculados a direcciones IP para combatir infracciones de derechos de autor en redes P2P. Distinguió esta retención dirigida de la retención masiva prohibida en La Quadrature du Net de 2020.
ECLI:EU:C:2024:370,C-470/21,La Quadrature du Net (datos P2P y lucha contra la piratería),30/04/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 6.1.e) RGPD,El TJUE vinculó la habilitación del art. 15 ePrivacy con la base jurídica de interés público del art. 6.1.e) RGPD para el tratamiento de datos de identidad civil por la autoridad pública encargada de la lucha contra la piratería en redes P2P.
ECLI:EU:C:2023:42,C-479/22 P,OC v EDPS — (datos publicados por el Tribunal de Cuentas),19/01/2023,2023,Regl. (UE) 2018/1725,EUDPR — Protección de datos en instituciones UE,Interpretación,Arts. 4 y 9 Regl. 2018/1725,El Tribunal de Justicia confirmó que la publicación en el sitio web del Tribunal de Cuentas Europeo de información sobre una irregularidad cometida por un funcionario constituye tratamiento de datos personales sujeto al EUDPR y que la institución debe garantizar la exactitud y proporcionalidad de la información publicada.
ECLI:EU:C:2023:369,C-487/21,Österreichische Datenschutzbehörde (derecho de acceso),04/05/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 15 RGPD,El TJUE definió el alcance de la copia de datos exigida por el art. 15.3 RGPD estableciendo que puede incluir extractos de documentos cuando sea necesario para la comprensión efectiva.
ECLI:EU:C:2025:(pendiente),C-492/23,Plataformas como responsables de anuncios de usuario,02/12/2025,2025,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 4.7 9 y 32 RGPD,El TJUE aplicó la definición de responsable del art. 4.7 y las obligaciones del art. 32 RGPD a operadores de mercados en línea que publican anuncios con datos sensibles de usuarios.
ECLI:EU:C:2025:(pendiente),C-492/23,Plataformas como responsables de anuncios de usuario,02/12/2025,2025,Regl. (UE) 2022/2065,DSA — Reglamento de Servicios Digitales,Vinculación directa,Arts. 12 y 14 DSA,El DSA refuerza las conclusiones de esta sentencia al imponer a las plataformas obligaciones activas de moderación de contenidos y prohibición de publicidad basada en datos sensibles.
ECLI:EU:C:2019:772,C-507/17,Google (alcance territorial derecho al olvido),24/09/2019,2019,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE,La ponderación del alcance territorial del derecho al olvido se realizó a la luz de los arts. 7 y 8 CDFUE en relación con la libertad de expresión e información.
ECLI:EU:C:2019:772,C-507/17,Google (alcance territorial derecho al olvido),24/09/2019,2019,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 17 RGPD,El TJUE delimitó el alcance territorial del derecho de supresión del art. 17 RGPD: desindexación obligatoria en versiones UE pero no mundial.
ECLI:EU:C:2024:853,C-507/23,Patērētāju tiesību (disculpa como compensación suficiente),04/10/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 82 RGPD,El TJUE aclaró que en ciertas circunstancias una disculpa puede constituir compensación suficiente por daño no material cuando es imposible restituir la situación previa y siempre que la disculpa compense íntegramente el daño sufrido. Reconfirmó que el art. 82 RGPD tiene función puramente compensatoria.
ECLI:EU:C:2020:791,C-511/18 C-512/18 y C-520/18,La Quadrature du Net (retención masiva de datos de telecomunicaciones),06/10/2020,2020,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE,El TJUE aplicó los arts. 7 y 8 CDFUE para concluir que la vigilancia masiva de datos de tráfico no supera el control de proporcionalidad aunque tenga por fin la seguridad nacional.
ECLI:EU:C:2020:791,C-511/18 C-512/18 y C-520/18,La Quadrature du Net (retención masiva de datos de telecomunicaciones),06/10/2020,2020,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Art. 15 ePrivacy,El TJUE estableció que la retención generalizada e indiferenciada de datos de tráfico y localización por operadores de telecomunicaciones es incompatible con la Directiva ePrivacy incluso con fines de seguridad nacional. Sólo admite retención dirigida y limitada.
ECLI:EU:C:2026:(pendiente),C-526/24,Brillen Rottler (solicitud de acceso abusiva — GDPR hopping),19/03/2026,2026,COM(2025) 126,Digital Omnibus — Propuesta de simplificación regulatoria digital,Vinculación directa,Art. 12.5 RGPD (propuesta de modificación),El test de abuso de derechos establecido por el TJUE en esta sentencia proporciona el referente judicial para evaluar la propuesta del Omnibus Digital que pretende incluir expresamente en el art. 12.5 RGPD un motivo de rechazo de solicitudes ejercidas con finalidad distinta a la protección de datos.
ECLI:EU:C:2026:(pendiente),C-526/24,Brillen Rottler (solicitud de acceso abusiva — GDPR hopping),19/03/2026,2026,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 12.5 y 15 y 82 RGPD,El TJUE declaró que incluso una primera solicitud de acceso puede considerarse abusiva si se hace con la intención de fabricar una infracción para reclamar indemnización (práctica conocida como GDPR hopping). Estableció un test de dos elementos: objetivo (circunstancias que revelan que la finalidad real no es la protección de datos) y subjetivo (intención abusiva demostrable). Además el TJUE confirmó que el art. 82 RGPD se extiende a infracciones puramente procedimentales como el rechazo injustificado de una solicitud de acceso aunque no impliquen tratamiento de datos. Sin embargo cuando el interesado provoca deliberadamente la infracción el nexo causal queda interrumpido y no procede indemnización.
ECLI:EU:C:2023:80,C-560/21,ZS v KISA (independencia del DPO — conflicto de intereses),09/02/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 38.3 y 38.6 RGPD,El TJUE estableció que el DPO que asume funciones incompatibles con las de DPO tiene un conflicto de intereses que justifica su destitución. Sentenció de forma complementaria a C-453/21 (X-FAB) aclarando los supuestos concretos de conflicto de intereses bajo el art. 38.6 RGPD.
ECLI:EU:C:2023:501,C-579/21,Pankki S (registros internos de consulta) — complemento proporcionalidad,22/06/2023,2023,CDFUE,Carta de los Derechos Fundamentales de la UE,Interpretación,Arts. 7 y 8 CDFUE,El TJUE vinculó el derecho del art. 15 RGPD a conocer los registros de consultas internas con los arts. 7 y 8 CDFUE. La negativa a facilitar esta información sólo puede justificarse si concurren derechos o libertades de terceros de igual jerarquía que lo hagan objetivamente necesario.
ECLI:EU:C:2023:501,C-579/21,Pankki S (derecho de acceso a registros de consulta interna),22/06/2023,2023,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 15 RGPD,El TJUE aclaró que el derecho de acceso del art. 15 RGPD incluye el derecho a conocer los registros de consulta interna de los datos del interesado por parte de los empleados de la entidad que los trata siempre que dicha información sea necesaria para verificar la licitud del tratamiento.
ECLI:EU:C:2021:492,C-597/19,Mircom International (P2P y direcciones IP),17/06/2021,2021,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Art. 6.1.f) RGPD,El TJUE analizó si el interés legítimo del art. 6.1.f) RGPD puede justificar la recogida sistematizada de IPs de usuarios P2P para acciones legales por derechos de autor.
ECLI:EU:C:2024:214,C-604/22,IAB Europe v Gegevensbeschermingsautoriteit — (TCF complemento bases jurídicas),07/03/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 5.1.a) y 6 RGPD,Como complemento al fallo principal sobre el TCF el TJUE también analizó las bases jurídicas disponibles para los operadores de publicidad en el ecosistema del TCF aclarando que el interés legítimo sólo puede invocarse para el procesamiento de datos publicitarios cuando el test de ponderación del art. 6.1.f) resulte favorable.
ECLI:EU:C:2020:901,C-61/19,Orange România (consentimiento en contratos),11/11/2020,2020,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 4.11 y 7 RGPD,El TJUE aplicó los arts. 4.11 y 7 RGPD para establecer que el silencio o la falta de oposición no equivalen a consentimiento válido en contratos de servicios.
ECLI:EU:C:2024:857,C-621/22,Koninklijke Nederlandse Lawn Tennis (marketing),04/10/2024,2024,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 6.1.f) y 21 RGPD,El TJUE aclaró que el interés legítimo del art. 6.1.f) RGPD no puede fundamentar el marketing directo cuando los interesados tienen una expectativa razonable de que sus datos no serán usados para ese fin.
ECLI:EU:C:2020:790,C-623/17,Privacy International (datos de inteligencia masiva),06/10/2020,2020,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Art. 15 ePrivacy,El TJUE aclaró que la Directiva ePrivacy se aplica también a la transmisión masiva de datos de operadores de telecomunicaciones a servicios de inteligencia nacionales. Los Estados miembros no pueden excluir esa transmisión del ámbito de la Directiva por razones de seguridad nacional.
ECLI:EU:C:2021:483,C-645/19,Facebook Ireland y otros (competencia autoridades),15/06/2021,2021,Regl. (UE) 2016/679,RGPD — Reglamento General de Protección de Datos,Interpretación,Arts. 55 56 60 y 66 RGPD,El TJUE aclaró las reglas de competencia entre autoridades de control en el mecanismo one-stop-shop para casos transfronterizos con múltiples Estados miembros implicados.
ECLI:EU:C:2024:1051,C-65/23,K GmbH (retención datos y acceso Fiscalía),19/12/2024,2024,Dir. (UE) 2022/2555,NIS2 — Seguridad de redes y sistemas de información,Vinculación indirecta,Art. 23 NIS2,Las obligaciones de notificación de incidentes de la NIS2 y los requisitos de retención de datos se interrelacionan con los límites establecidos por el TJUE sobre el acceso de autoridades a esos datos.
ECLI:EU:C:2024:1051,C-65/23,K GmbH (retención datos y acceso Fiscalía),19/12/2024,2024,Dir. 2002/58/CE,Directiva ePrivacy — Privacidad en comunicaciones electrónicas,Interpretación,Arts. 5 y 15 ePrivacy,El TJUE reforzó las condiciones del art. 15 de la Directiva ePrivacy para el acceso de la Fiscalía a datos de tráfico retenidos: limitación a delincuencia grave y control previo independiente.
